Order_ID,Fuel_Cost,Labor_Cost,Vehicle_Maintenance,Insurance,Packaging_Cost,Technology_Platform_Fee,Other_Overhead
ORD000001,151.36,110.31,53.0,32.17,37.46,43.77,30.38
ORD000002,157.32,146.2,51.61,28.54,21.74,48.64,38.74
ORD000003,322.61,319.74,128.03,58.13,102.91,92.06,55.45
ORD000004,215.33,194.01,60.87,49.68,45.89,50.4,35.12
ORD000005,191.92,150.42,79.03,48.92,53.35,48.62,52.98
ORD000006,130.04,107.92,38.85,19.95,32.06,37.26,23.24
ORD000007,158.91,121.05,56.67,29.88,40.09,49.61,32.48
ORD000008,280.25,239.41,117.33,55.54,50.56,69.74,61.33
ORD000009,144.44,138.58,46.07,28.64,37.51,46.85,28.72
ORD000010,308.43,249.95,130.74,49.87,86.21,95.72,68.28
ORD000011,96.98,95.16,38.5,18.57,26.49,38.01,24.98
ORD000012,216.69,149.83,70.51,32.56,47.04,68.56,48.47
ORD000013,180.78,167.73,74.93,41.22,53.87,66.15,47.35
ORD000014,105.91,86.51,33.06,21.27,22.18,33.6,26.03
ORD000015,133.59,125.98,47.47,25.17,39.76,35.54,30.88
ORD000016,134.78,143.76,54.39,26.19,31.96,46.48,41.65
ORD000017,140.86,148.11,64.17,41.91,35.77,46.01,30.69
ORD000018,247.18,199.68,88.18,47.05,57.03,74.42,37.76
ORD000019,160.12,127.01,59.42,29.9,28.81,48.71,26.13
ORD000020,119.6,92.84,39.11,20.36,24.47,28.94,16.17
ORD000021,172.33,132.0,78.43,51.77,36.74,57.48,35.44
ORD000022,133.56,120.26,53.6,25.47,32.44,32.98,36.21
ORD000023,174.67,179.16,76.76,48.72,32.34,67.85,34.09
ORD000024,221.94,166.8,70.67,47.37,43.41,52.94,35.87
ORD000025,325.39,310.08,137.94,51.6,66.31,79.97,48.39
ORD000026,230.66,195.43,68.13,38.86,32.24,71.43,62.19
ORD000027,113.46,98.84,51.9,34.86,25.69,29.68,18.81
ORD000028,221.65,179.41,62.91,49.09,31.36,69.15,40.51
ORD000029,81.46,82.75,32.12,26.44,20.69,24.39,22.9
ORD000030,173.47,180.51,62.96,41.09,27.85,51.46,48.58
ORD000031,331.77,237.5,97.03,79.21,84.14,73.07,63.21
ORD000032,138.86,140.25,43.35,25.2,36.46,34.14,31.05
ORD000033,174.15,143.41,60.58,38.7,29.38,52.05,45.67
ORD000034,297.78,210.17,85.1,50.22,53.89,76.29,66.51
ORD000035,184.29,152.82,72.1,51.16,35.98,63.7,37.98
ORD000036,201.45,176.03,59.54,31.88,36.58,46.46,43.35
ORD000037,96.9,80.36,35.77,17.69,14.64,27.74,17.23
ORD000038,245.92,185.59,69.7,66.74,38.72,80.07,66.22
ORD000039,139.87,116.48,47.52,34.4,23.77,36.39,29.85
ORD000040,217.42,186.59,74.26,49.85,58.98,56.13,61.65
ORD000041,214.56,193.28,74.34,51.75,29.55,65.57,30.25
ORD000042,228.94,205.52,67.51,35.62,51.95,53.04,54.9
ORD000043,324.29,274.45,155.68,87.47,96.51,97.17,87.61
ORD000044,54.22,46.81,20.23,11.88,10.78,13.73,13.34
ORD000045,205.52,203.36,71.14,51.77,55.65,56.54,33.76
ORD000046,213.48,211.78,97.14,35.63,59.12,63.86,50.41
ORD000047,65.31,47.07,20.49,8.42,8.99,15.02,8.54
ORD000048,217.39,175.19,76.27,35.16,38.79,63.79,58.83
ORD000049,138.09,153.48,58.33,35.4,33.96,37.47,24.67
ORD000050,221.86,175.04,89.87,43.33,35.22,66.9,39.84
ORD000051,324.39,294.25,133.43,82.45,77.12,98.63,89.53
ORD000052,252.15,191.35,86.91,46.59,63.57,80.6,60.96
ORD000053,86.54,92.64,33.33,23.89,22.33,26.89,16.28
ORD000054,151.17,162.75,71.29,40.3,26.95,46.94,42.23
ORD000055,347.68,240.83,91.98,78.74,62.39,82.95,46.58
ORD000056,286.81,271.49,119.8,63.42,61.35,67.57,62.74
ORD000057,257.45,236.67,90.97,47.24,41.7,70.53,41.77
ORD000058,136.11,149.41,52.36,32.81,40.14,51.34,33.9
ORD000059,285.91,212.0,86.46,52.6,62.71,80.46,49.32
ORD000060,161.38,161.34,54.81,40.65,43.61,55.64,45.16
ORD000061,216.28,167.53,76.23,45.21,33.13,45.25,35.87
ORD000062,209.54,189.7,86.72,36.4,34.25,72.14,33.72
ORD000063,314.88,279.31,115.03,49.15,47.84,76.24,71.77
ORD000064,208.93,161.15,77.75,53.64,30.7,58.9,49.79
ORD000065,211.68,182.75,85.06,61.76,58.9,67.25,56.31
ORD000066,254.23,237.32,93.17,44.95,64.29,77.26,51.33
ORD000067,76.78,49.49,22.73,10.37,17.34,21.22,13.07
ORD000068,188.09,148.19,70.52,37.21,36.14,60.07,32.01
ORD000069,115.06,113.74,54.75,25.4,19.58,34.5,27.76
ORD000070,349.44,349.02,165.65,80.22,74.86,106.13,61.62
ORD000071,251.01,188.41,77.16,53.64,46.61,68.47,34.31
ORD000072,290.61,262.17,100.92,74.47,43.87,75.51,61.03
ORD000073,297.86,241.29,97.22,46.85,57.87,71.94,72.12
ORD000074,191.41,152.62,76.13,47.58,55.83,61.49,40.13
ORD000075,448.0,358.15,122.47,92.23,112.38,112.92,76.35
ORD000076,150.24,126.73,58.14,38.13,25.82,56.2,41.94
ORD000077,166.06,154.11,48.16,34.19,37.74,52.39,41.29
ORD000078,206.3,216.62,66.87,59.02,62.04,54.82,54.21
ORD000079,162.28,155.08,67.15,42.18,51.67,57.05,39.53
ORD000080,156.1,141.39,41.43,40.62,22.25,46.13,26.23
ORD000081,254.98,239.32,107.62,56.21,42.92,84.64,77.43
ORD000082,244.68,196.45,88.32,37.91,65.83,81.76,57.42
ORD000083,230.16,226.5,87.68,62.67,55.99,76.45,54.86
ORD000084,166.15,168.28,61.83,39.06,29.7,51.11,38.24
ORD000085,247.36,198.8,101.14,68.49,59.16,69.18,64.72
ORD000086,193.11,184.44,67.82,37.13,37.69,59.85,32.95
ORD000087,256.52,227.37,93.74,52.2,69.42,64.79,56.84
ORD000088,211.51,177.6,88.89,54.09,64.86,70.67,67.69
ORD000089,110.23,93.93,36.95,21.43,27.86,38.26,18.9
ORD000090,150.36,127.35,43.76,20.52,22.29,32.42,21.4
ORD000091,199.51,155.69,66.85,56.4,47.75,66.88,32.39
ORD000092,234.96,212.21,72.14,34.88,58.02,73.41,49.0
ORD000093,256.88,214.61,74.49,49.15,43.32,61.79,72.02
ORD000094,266.54,239.09,85.73,51.58,45.8,62.11,43.65
ORD000095,153.31,128.28,51.41,29.77,38.8,33.47,25.85
ORD000096,127.31,124.75,56.87,23.58,35.62,43.03,23.27
ORD000097,146.75,125.61,64.29,25.49,38.84,40.31,37.36
ORD000098,291.98,262.81,120.92,77.01,79.67,70.34,72.23
ORD000099,122.32,113.59,49.64,27.32,29.6,46.69,22.11
ORD000100,204.3,160.98,59.28,32.2,54.18,64.03,53.0
ORD000101,81.79,55.5,24.13,17.1,15.2,19.82,13.91
ORD000102,214.92,183.93,64.63,44.01,46.45,61.48,36.18
ORD000103,78.95,53.27,24.84,18.78,16.5,19.08,17.88
ORD000104,180.93,167.18,69.36,40.83,37.74,43.28,31.99
ORD000105,277.06,251.15,101.85,52.19,40.78,80.91,52.09
ORD000106,188.47,127.38,65.22,48.99,29.63,49.89,27.54
ORD000107,78.41,65.97,26.03,16.45,20.51,19.0,11.06
ORD000108,331.45,264.11,124.05,68.53,77.68,83.42,75.1
ORD000109,104.83,82.31,29.21,17.0,16.06,24.08,17.5
ORD000110,321.65,279.39,109.77,73.08,48.93,75.56,53.01
ORD000111,344.3,265.61,111.73,68.52,88.66,78.84,80.71
ORD000112,270.0,242.75,107.91,37.54,42.45,84.96,53.67
ORD000113,376.74,334.3,141.58,102.08,105.53,115.0,68.02
ORD000114,233.39,153.35,67.11,57.07,37.78,53.43,34.23
ORD000115,97.51,75.81,33.79,15.65,22.21,27.9,16.58
ORD000116,120.86,96.02,52.74,29.16,34.28,32.65,31.57
ORD000117,251.07,212.78,98.86,46.45,37.69,71.25,57.65
ORD000118,192.48,145.74,67.42,35.32,38.43,56.97,46.98
ORD000119,158.54,142.51,55.65,29.4,43.74,57.08,33.6
ORD000120,258.41,234.01,98.03,40.74,67.38,65.49,46.13
ORD000121,110.99,108.23,38.22,22.63,23.86,40.72,33.99
ORD000122,193.75,197.05,83.82,51.77,33.64,63.14,57.06
ORD000123,159.12,122.35,54.02,35.56,32.64,36.64,28.35
ORD000124,218.21,192.91,61.33,56.02,38.13,61.11,50.27
ORD000125,111.35,100.65,33.78,27.14,16.53,31.61,25.44
ORD000126,98.17,73.47,38.35,15.6,14.06,29.02,19.69
ORD000127,226.64,169.78,63.84,54.07,45.6,51.56,50.65
ORD000128,137.42,121.5,48.16,35.79,35.8,42.42,21.63
ORD000129,322.84,266.68,113.41,57.31,79.02,91.68,46.78
ORD000130,191.78,190.58,57.61,55.19,47.25,59.23,35.75
ORD000131,131.36,139.17,46.46,35.89,28.16,34.6,20.43
ORD000132,155.85,152.84,52.09,29.84,29.55,44.33,31.67
ORD000133,168.21,130.3,54.36,24.68,42.98,39.02,23.27
ORD000134,282.15,238.42,93.01,54.77,68.75,67.65,70.1
ORD000135,206.4,165.11,69.52,35.54,49.56,56.86,37.36
ORD000136,272.64,265.04,92.32,72.81,50.99,62.31,45.65
ORD000137,111.2,88.46,32.53,31.15,29.99,35.68,18.99
ORD000138,252.38,207.67,110.16,78.0,57.85,68.56,61.16
ORD000139,165.81,142.34,64.9,42.55,27.5,40.32,49.37
ORD000140,210.78,166.51,71.39,33.87,45.37,73.09,43.73
ORD000141,252.87,233.15,92.1,68.33,68.5,59.03,65.27
ORD000142,207.01,208.69,74.27,59.42,52.48,53.8,46.01
ORD000143,139.69,117.49,36.7,29.85,23.54,28.09,24.56
ORD000144,174.55,179.09,63.06,49.31,27.0,49.81,33.49
ORD000145,251.46,199.72,85.04,60.48,50.21,75.2,53.54
ORD000146,289.89,254.7,93.23,49.74,41.39,88.36,39.65
ORD000147,203.84,172.96,71.72,35.99,55.11,52.48,50.53
ORD000148,89.12,73.33,41.5,16.98,25.98,29.04,15.37
ORD000149,214.68,149.09,77.6,31.72,50.31,43.71,41.03
ORD000150,154.78,141.04,59.73,37.36,38.77,36.12,26.37
