Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_INR,Traffic_Delay_Minutes,Weather_Impact
ORD000001,Kolkata-Hyderabad,152.59,23.02,122.08,21,None
ORD000002,Hyderabad-Kolkata,362.05,43.98,289.64,33,None
ORD000003,Mumbai-Pune,519.74,65.75,415.79,2,None
ORD000004,Hyderabad-Ahmedabad,540.87,61.85,432.7,112,None
ORD000005,Chennai-Mumbai,1251.56,147.54,1001.25,10,None
ORD000006,Chennai-Dubai,3041.83,365.82,0.0,0,None
ORD000007,Pune-Bangalore,854.87,103.85,683.9,10,None
ORD000008,Chennai-Kolkata,1430.06,173.95,1144.05,81,None
ORD000009,Delhi-Hong Kong,3708.13,446.18,0.0,0,None
ORD000010,Hyderabad-Mumbai,771.73,88.0,617.39,16,Light_Rain
ORD000011,Delhi-Bangkok,4720.83,562.82,0.0,0,None
ORD000012,Mumbai-Hong Kong,3797.36,454.22,0.0,0,None
ORD000013,Hyderabad-Bangalore,164.57,22.21,131.65,102,None
ORD000014,Delhi-Bangalore,1450.16,171.78,1160.13,45,None
ORD000015,Kolkata-Delhi,1748.33,214.29,1398.67,25,Fog
ORD000016,Delhi-Mumbai,921.79,114.25,737.43,54,None
ORD000017,Hyderabad-Singapore,2857.35,339.91,0.0,0,Light_Rain
ORD000018,Mumbai-Chennai,757.12,90.97,605.7,114,None
ORD000019,Ahmedabad-Bangalore,1571.48,193.39,1257.18,81,None
ORD000020,Kolkata-Pune,1123.6,135.75,898.88,6,Fog
ORD000021,Mumbai-Singapore,2601.42,308.26,0.0,0,Heavy_Rain
ORD000022,Bangalore-Dubai,3317.45,401.56,0.0,0,Heavy_Rain
ORD000023,Ahmedabad-Dubai,2187.37,266.32,0.0,0,None
ORD000024,Bangalore-Kolkata,967.74,117.39,774.19,30,Light_Rain
ORD000025,Mumbai-Hyderabad,1396.41,171.86,1117.13,85,Light_Rain
ORD000026,Bangalore-Delhi,1277.31,149.62,1021.84,20,None
ORD000027,Bangalore-Bangkok,4413.31,527.38,0.0,0,None
ORD000028,Kolkata-Dubai,4872.34,579.77,0.0,0,Fog
ORD000029,Chennai-Singapore,4030.46,486.94,0.0,0,None
ORD000030,Delhi-Chennai,124.34,17.3,99.47,24,None
ORD000031,Mumbai-Bangkok,2207.09,259.91,0.0,0,Heavy_Rain
ORD000032,Chennai-Dubai,4465.78,538.99,0.0,0,Heavy_Rain
ORD000033,Delhi-Chennai,1290.06,150.85,1032.05,22,None
ORD000034,Mumbai-Dubai,2232.95,267.03,0.0,0,None
ORD000035,Pune-Delhi,212.22,23.95,169.77,2,None
ORD000036,Chennai-Hong Kong,3731.12,449.71,0.0,0,None
ORD000037,Chennai-Dubai,2302.82,280.03,0.0,0,None
ORD000038,Hyderabad-Singapore,2338.79,284.08,0.0,0,None
ORD000039,Bangalore-Dubai,3434.78,408.63,0.0,0,Light_Rain
ORD000040,Kolkata-Hyderabad,1233.65,145.15,986.92,33,None
ORD000041,Bangalore-Bangkok,4410.45,533.55,0.0,0,None
ORD000042,Mumbai-Bangkok,4718.33,564.41,0.0,0,None
ORD000043,Delhi-Bangalore,484.25,59.51,387.4,52,None
ORD000044,Bangalore-Singapore,2643.88,316.43,0.0,0,Light_Rain
ORD000045,Kolkata-Pune,419.33,52.52,335.47,31,None
ORD000046,Mumbai-Singapore,3757.59,452.16,0.0,0,None
ORD000047,Mumbai-Bangkok,4047.85,483.16,0.0,0,Light_Rain
ORD000048,Delhi-Hyderabad,1498.31,182.84,1198.65,21,None
ORD000049,Delhi-Hong Kong,2359.86,287.35,0.0,0,Light_Rain
ORD000050,Kolkata-Delhi,782.46,90.48,625.97,33,None
ORD000051,Delhi-Pune,1170.25,135.97,936.2,75,None
ORD000052,Chennai-Hyderabad,274.67,29.85,219.74,92,None
ORD000053,Bangalore-Hyderabad,569.49,70.41,455.59,86,None
ORD000054,Bangalore-Mumbai,893.85,105.67,715.08,43,Light_Rain
ORD000055,Hyderabad-Delhi,637.66,72.54,510.13,64,None
ORD000056,Delhi-Singapore,3694.95,447.06,0.0,0,None
ORD000057,Kolkata-Bangalore,1642.24,201.5,1313.79,82,Heavy_Rain
ORD000058,Delhi-Hong Kong,3131.95,380.48,0.0,0,None
ORD000059,Delhi-Chennai,1267.93,152.09,1014.35,32,Heavy_Rain
ORD000060,Pune-Singapore,4532.75,545.69,0.0,0,None
ORD000061,Mumbai-Singapore,2762.69,335.28,0.0,0,None
ORD000062,Mumbai-Bangalore,573.35,65.1,458.68,67,Light_Rain
ORD000063,Kolkata-Singapore,2894.16,343.35,0.0,0,Light_Rain
ORD000064,Mumbai-Bangkok,3932.45,467.38,0.0,0,None
ORD000065,Hyderabad-Mumbai,1726.56,207.19,1381.25,40,None
ORD000066,Delhi-Pune,288.66,35.98,230.93,98,None
ORD000067,Pune-Singapore,2157.07,261.52,0.0,0,None
ORD000068,Kolkata-Bangalore,1497.71,183.23,1198.16,15,None
ORD000069,Chennai-Singapore,4609.29,555.42,0.0,0,None
ORD000070,Pune-Mumbai,1453.61,176.97,1162.89,108,None
ORD000071,Delhi-Bangkok,2409.8,290.69,0.0,0,Light_Rain
ORD000072,Pune-Bangkok,2946.88,355.07,0.0,0,None
ORD000073,Mumbai-Dubai,4139.62,493.75,0.0,0,Heavy_Rain
ORD000074,Bangalore-Bangkok,2862.23,342.15,0.0,0,None
ORD000075,Delhi-Dubai,2334.54,280.3,0.0,0,None
ORD000076,Bangalore-Hyderabad,1520.32,177.58,1216.25,36,Heavy_Rain
ORD000077,Mumbai-Hong Kong,4514.8,543.87,0.0,0,Heavy_Rain
ORD000078,Hyderabad-Chennai,153.42,20.77,122.73,101,None
ORD000079,Hyderabad-Bangkok,3785.4,449.35,0.0,0,None
ORD000080,Pune-Hyderabad,1737.95,208.74,1390.36,101,Light_Rain
ORD000081,Mumbai-Ahmedabad,873.36,102.48,698.69,80,None
ORD000082,Chennai-Hyderabad,1759.22,207.36,1407.38,52,None
ORD000083,Bangalore-Bangkok,3147.74,376.41,0.0,0,None
ORD000084,Delhi-Hong Kong,3306.52,395.1,0.0,0,None
ORD000085,Delhi-Dubai,4217.08,503.28,0.0,0,None
ORD000086,Delhi-Chennai,1070.1,129.09,856.08,116,None
ORD000087,Chennai-Ahmedabad,1756.13,214.21,1404.9,72,None
ORD000088,Bangalore-Hong Kong,4489.29,539.78,0.0,0,None
ORD000089,Bangalore-Hong Kong,2621.28,311.08,0.0,0,Heavy_Rain
ORD000090,Mumbai-Bangkok,4130.41,500.02,0.0,0,None
ORD000091,Mumbai-Hyderabad,904.78,104.17,723.83,43,None
ORD000092,Mumbai-Ahmedabad,1728.24,211.82,1382.59,4,None
ORD000093,Ahmedabad-Delhi,1206.63,146.24,965.3,31,None
ORD000094,Mumbai-Kolkata,721.66,83.85,577.33,107,None
ORD000095,Mumbai-Bangalore,1623.33,198.27,1298.66,44,None
ORD000096,Delhi-Ahmedabad,1768.81,212.53,1415.05,67,None
ORD000097,Kolkata-Delhi,1246.02,147.12,996.82,48,Heavy_Rain
ORD000098,Ahmedabad-Bangkok,3012.02,363.69,0.0,0,None
ORD000099,Kolkata-Mumbai,203.07,26.27,162.46,25,None
ORD000100,Chennai-Dubai,2023.52,244.13,0.0,0,None
ORD000101,Bangalore-Mumbai,328.27,43.97,262.61,26,Light_Rain
ORD000102,Mumbai-Singapore,3062.8,372.03,0.0,0,Fog
ORD000103,Pune-Delhi,1155.54,142.95,924.44,61,None
ORD000104,Kolkata-Singapore,3639.73,436.1,0.0,0,None
ORD000105,Chennai-Bangalore,381.77,45.27,305.42,43,Heavy_Rain
ORD000106,Kolkata-Pune,1246.39,145.94,997.11,74,Light_Rain
ORD000107,Kolkata-Bangalore,1551.43,183.59,1241.15,69,None
ORD000108,Chennai-Ahmedabad,1182.12,141.84,945.69,55,Light_Rain
ORD000109,Ahmedabad-Hong Kong,4943.43,593.91,0.0,0,None
ORD000110,Pune-Dubai,3310.99,398.25,0.0,0,None
ORD000111,Chennai-Delhi,1157.98,143.77,926.39,3,Light_Rain
ORD000112,Chennai-Hyderabad,1344.61,159.9,1075.69,16,Fog
ORD000113,Mumbai-Pune,986.48,123.15,789.19,118,None
ORD000114,Chennai-Kolkata,1552.18,188.99,1241.74,99,None
ORD000115,Mumbai-Kolkata,1189.05,144.35,951.24,58,Fog
ORD000116,Bangalore-Kolkata,1398.08,171.32,1118.47,43,None
ORD000117,Ahmedabad-Delhi,115.37,12.41,92.29,27,None
ORD000118,Bangalore-Kolkata,1178.42,138.63,942.73,103,Light_Rain
ORD000119,Bangalore-Bangkok,4186.58,498.34,0.0,0,None
ORD000120,Delhi-Mumbai,149.59,17.76,119.67,12,None
ORD000121,Mumbai-Pune,1632.35,192.42,1305.88,118,Heavy_Rain
ORD000122,Kolkata-Mumbai,1788.53,210.07,1430.83,92,None
ORD000123,Mumbai-Hong Kong,3906.33,464.67,0.0,0,None
ORD000124,Mumbai-Pune,198.09,23.22,158.48,89,None
ORD000125,Delhi-Mumbai,1438.83,170.17,1151.07,83,None
ORD000126,Kolkata-Pune,806.53,100.26,645.22,0,None
ORD000127,Kolkata-Hong Kong,4754.72,566.58,0.0,0,None
ORD000128,Mumbai-Singapore,2662.56,314.9,0.0,0,None
ORD000129,Bangalore-Bangkok,2525.67,306.75,0.0,0,None
ORD000130,Bangalore-Delhi,1715.78,206.71,1372.62,10,None
ORD000131,Chennai-Delhi,826.75,97.47,661.4,114,None
ORD000132,Chennai-Kolkata,700.19,87.96,560.15,70,Light_Rain
ORD000133,Delhi-Bangkok,3202.83,386.97,0.0,0,Light_Rain
ORD000134,Bangalore-Chennai,1611.11,193.78,1288.89,108,None
ORD000135,Bangalore-Kolkata,416.43,48.29,333.14,102,None
ORD000136,Hyderabad-Ahmedabad,1181.27,140.4,945.02,14,Heavy_Rain
ORD000137,Bangalore-Bangkok,3380.01,401.55,0.0,0,Light_Rain
ORD000138,Delhi-Mumbai,180.99,23.99,144.79,92,Light_Rain
ORD000139,Delhi-Pune,1212.91,142.06,970.32,56,None
ORD000140,Bangalore-Chennai,177.19,19.16,141.75,108,None
ORD000141,Kolkata-Bangkok,2383.6,288.69,0.0,0,None
ORD000142,Bangalore-Hong Kong,3249.7,390.19,0.0,0,None
ORD000143,Chennai-Ahmedabad,1754.23,207.77,1403.39,37,None
ORD000144,Kolkata-Hong Kong,3312.45,401.32,0.0,0,None
ORD000145,Bangalore-Delhi,424.9,49.09,339.92,114,None
ORD000146,Delhi-Bangalore,1361.22,166.83,1088.98,86,None
ORD000147,Hyderabad-Chennai,1623.27,197.97,1298.62,111,Light_Rain
ORD000148,Delhi-Mumbai,408.74,47.76,326.99,46,Light_Rain
ORD000149,Bangalore-Chennai,1774.26,215.45,1419.41,84,None
ORD000150,Ahmedabad-Dubai,2448.8,292.66,0.0,0,None
